CarID	Average Speed	Max Speed	Average fuel consumption	Distance	Battery Charging Voltage
107	30,97	85,63	7,74	417,32	14,05
108	47,44	83,52	8,81	447,12	13,83
109	41,1	87,17	8,82	463,7	14,34
110	30,97	80,6	7,68	409,56	14,21
111	43,64	95,67	8,61	514,5	13,71
112	38,57	85,52	8,54	405,01	13,97
113	52,5	92,06	8,58	454,6	13,85
114	46,17	89,17	8,56	421,6	14,01
115	51,24	0	0	444,09	14,23
116	39,84	88,48	8,53	426,02	14,44
117	47,44	85,87	8,75	385,9	13,96
118	30,97	75,68	8,32	353,53	14,44
119	61,37	95,55	9,06	430,03	14,16
120	37,3	81,18	8,51	392,84	14,38
121	53,77	90,38	8,69	405,42	13,75
122	27,17	83,36	7,77	391,89	13,73
123	25,9	85,14	7,6	460,41	13,69
124	49,97	88,24	8,66	430,66	13,63
125	27,17	81,29	7,7	405,15	14,58
126	29,7	77,16	8,31	364,04	14,16
127	44,9	91,17	8,66	420,34	14,46
128	32,24	85,66	7,72	448,64	14,28
129	52,5	89,25	8,87	556,43	14,02
130	39,84	92,17	7,77	466,9	13,8
131	47,44	97,69	9,07	585,41	14,12
132	47,44	97,17	8,95	597,18	14,31
133	47,44	86,55	8,76	456,13	14,56
134	38,57	90,51	8,62	456,08	14,39
135	36,04	87,01	7,79	408,48	13,82
136	43,64	89,03	8,63	445,58	14,1
137	37,3	86,19	8,59	369,26	13,69
138	38,57	84,34	8,39	452,52	13,7
139	32,24	75,81	8,25	404,2	14,38
140	28,44	88,39	7,83	399,64	14,02
141	30,97	87,9	7,7	442,74	14,32
142	39,84	81,5	8,35	376,21	13,65
143	58,84	-98,71	8,94	415,06	13,68
144	48,7	88,55	8,87	454,87	13,85
145	36,04	90,51	8,62	456,08	14,28
146	29,7	81,95	7,75	369,4	14,41
147	24,64	67,2	7,77	327,03	14,56
148	38,57	89,27	8,5	440,94	14,13
149	28,44	86,32	7,76	412,9	14,5
150	52,5	89,8	8,99	395,36	14,09
151	39,84	89,07	8,61	402,26	14,09
152	39,84	98,9	7,7	555,16	14,1
153	34,77	90,07	7,72	448,82	13,72
154	37,3	85,73	7,68	436,65	14,15
155	41,1	87,17	8,82	463,7	14,23
156	46,17	87,34	8,73	NA	13,93
157	49,97	93,81	8,8	532,63	14,18
158	49,97	94,15	9,01	513,51	14,02
159	63,9	100,44	9,19	461,76	14,03
160	32,24	90,79	7,72	475,74	13,86
161	30,97	84,97	7,69	453,06	13,62
162	44,9	90,99	8,75	487,64	14,15
163	49,97	91,54	8,84	507,2	13,95
164	43,64	79,03	8,49	312,1	14,53
165	29,7	81,95	7,75	369,4	13,92
